y,ypred
1.0,0.6487548
1.0,0.4009812
1.0,0.32922536
-1.0,0.83335584
1.0,0.5563499
-1.0,0.5232499
-1.0,0.32940015
-1.0,0.49359864
1.0,0.62054515
-1.0,0.21971509
-1.0,0.6861553
1.0,0.36783022
-1.0,0.68091285
1.0,0.61153406
-1.0,0.37264565
-1.0,0.29416156
1.0,0.73247904
1.0,0.87802833
-1.0,0.4177048
1.0,0.5858686
-1.0,0.4725527
1.0,0.56437045
1.0,0.5212386
-1.0,0.35749462
1.0,0.3338884
1.0,0.9169139
1.0,0.7852261
1.0,0.8092539
-1.0,0.34526965
1.0,0.31153482
1.0,0.331906
-1.0,0.5012674
-1.0,0.71364146
1.0,0.5361796
-1.0,0.56787497
1.0,0.6646644
1.0,0.5830652
-1.0,0.29599854
1.0,0.4147009
1.0,0.60693127
-1.0,0.8009038
1.0,0.4395577
-1.0,0.17603755
-1.0,0.93434954
1.0,0.513159
-1.0,0.7135285
1.0,0.8877258
1.0,0.24838908
1.0,0.19517305
-1.0,0.22732197
